Question,Answer,File,URL
What rights do I have as a student at SFU regarding my learning environment?,"As a student at SFU, you have the right to learn, study, and work in an environment that is civil, safe, and respectful of your rights, well-being, and dignity.",1_1_10,https://www.sfu.ca/students/studentsupport.html
"How can the Office of Student Support, Rights & Responsibilities (OSSRR) assist me?","The OSSRR can assist you by offering personalized case management for challenges affecting your academic learning or decision making, supporting you in navigating your own experiences or reporting conduct you've witnessed, and recommending further actions or reports to specific support offices as needed.",1_1_10,https://www.sfu.ca/students/studentsupport.html
What methods can I use to contact the OSSRR?,"- Phone: 778.782.5699
- Email: ssrr@sfu.ca
- Online: Online Form",1_1_10,https://www.sfu.ca/students/studentsupport.html
What are the office hours for the OSSRR?,"Inquiries will be monitored from 9:00am to 4:30pm Monday through Friday, excluding holidays.",1_1_10,https://www.sfu.ca/students/studentsupport.html
What should I do if I or someone I know is in immediate danger?,Call 911.,1_1_10,https://www.sfu.ca/students/studentsupport.html
What types of support services does SFU offer to students?,"1. Centre for Accessible Learning
2. Multifaith Centre
3. Sexual Violence Support and Prevention Office
4. Health and Counselling Services
5. Student Support & Services",1_1_10,https://www.sfu.ca/students/studentsupport.html
How can I distinguish between behaviors of concern and misconduct?,"To distinguish between behaviors of concern and misconduct, begin by identifying the experience or behavior you are witnessing:

1. You are uncomfortable with a student's behavior, but the student is not acting in a way that is distressed, disruptive, disturbing, or dangerous.
2. A student seems distressed in word, appearance, or action, but behavior is not disruptive.
3. A student's behavior is disruptive (e.g., yelling, refusing to follow direction, sending numerous repetitive emails or phone calls).
4. A student's behavior is disturbing (e.g., aggression not directed at specific people, destruction of property, indirect aggressive words or actions, fascination with violence).
5. A student discloses a history of violence (as participant or recipient) and/or fear of someone coming to harm them.
6. A student exhibits persistent, unwanted, or obsessive contact or other harassment (by phone, email, or in person).
7. A student expresses a direct threat to harm self or others.",1_1_10,https://www.sfu.ca/students/studentsupport.html
What should I do if I feel uncomfortable with a student's behavior?,"If you are uncomfortable with a student's behavior but the student is not acting in a way that is distressed, disruptive, disturbing, or dangerous, you should reach out for support to the Office of Student Support, Rights & Responsibilities (OSSRR). You can contact them via phone at 778.782.5699, email at ssrr@sfu.ca, or through the Online Form.",1_1_10,https://www.sfu.ca/students/studentsupport.html
How should I respond if I notice a student appearing distressed?,"If a student seems distressed in word, appearance, or action but their behavior is not disruptive, you should read the recommended response provided by the Office of Student Support, Rights & Responsibilities (OSSRR).",1_1_10,https://www.sfu.ca/students/studentsupport.html
What constitutes disruptive behavior in a classroom setting?,"Disruptive behavior in a classroom setting includes yelling, refusing to follow direction, and sending numerous repetitive emails or phone calls.",1_1_10,https://www.sfu.ca/students/studentsupport.html
What are examples of disturbing behavior that might need reporting?,"1. Aggression, though not directed at specific people
2. Destruction or damage to property
3. Indirect aggressive words or actions
4. Fascination with Violence by words or action",1_1_10,https://www.sfu.ca/students/studentsupport.html
What steps should I take if a student discloses a history of violence?,"If a student discloses a history of violence, you should: 

1. Listen to the student and provide support.
2. Encourage the student to contact the Office of Student Support, Rights & Responsibilities (OSSRR).
3. If necessary, recommend that a report be submitted to a specific support office.
4. Follow up with the OSSRR for further guidance and support.",1_1_10,https://www.sfu.ca/students/studentsupport.html
How should I handle persistent or unwanted contact from another student?,"If you are experiencing persistent or unwanted contact from another student, you should reach out to the Office of Student Support, Rights & Responsibilities (OSSRR) for assistance. You can contact them by phone at 778.782.5699, via email at ssrr@sfu.ca, or by using their online form. They can provide personalized case management and guide you through the situation in accordance with SFU policies and procedures. If you feel in immediate danger, call 911.",1_1_10,https://www.sfu.ca/students/studentsupport.html
What should I do if a student makes a direct threat to harm themselves or others?,"If a student expresses by word or action a direct threat to harm themselves or others, you should call 911 immediately.",1_1_10,https://www.sfu.ca/students/studentsupport.html
What types of medical insurance are required at SFU?,Primary and Secondary Medical Insurance,1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
How can I apply for BC Medical Services Plan (MSP)?,"To apply for BC Medical Services Plan (MSP), complete the MSP Application online at the MSP website. You may also complete the MSP Application Enrolment form by mail and send it directly to BC MSP. You can apply as soon as you arrive in BC.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
What is the waiting period for BC MSP coverage?,The waiting period for BC MSP coverage is 2-3 months for new residents.,1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
What should I do if I have an active TSSU appointment?,Visit the International Teaching Assistants page.,1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
Can I opt out of the guard.me@SFU plan?,"Yes, you can opt out of the guard.me@SFU plan if you already have valid coverage through BC Medical Services Plan (MSP) or another Canadian provincial or territorial public health coverage, are studying at SFU under a government-sponsored scholarship program, or you are outside of Canada. To opt out, you need to visit the opt out website, select your appropriate student category, and follow the opt out instructions before the deadline.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
What is guard.me@SFU and what does it cover?,Guard.me@SFU is a short-term primary medical insurance coverage for your first term at SFU. It provides transitional coverage while you are waiting for your BC Medical Services Plan (MSP).,1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
How much does the guard.me@SFU insurance cost?,The cost of guard.me@SFU insurance is $281 for your first term at SFU.,1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
How do I obtain my policy or certificate number for guard.me@SFU?,"You will receive a welcome email from guard.me@SFU at the beginning of the semester. This email will include a link to log into your account to view your policy details. You can view and download your Healthcare Access Card (HAC), which is your proof of insurance and will have your name, student number, policy number, and policy start and end date. You can also log in via the Guard.me@SFU website.",1_1_11_1,https://www.sfu.ca/medical-insurance/g-international-us-students.html
